key,displayName,category,region,region_name,type,cargo_needed,experience,money,descriptionText,Source
US_01_01_DROWNED_TRUCK_01_TSK,Drowned Highway Truck,_TASKS,US_01,Michigan,truckDelivery,,190,1250,Hey! Trouble at the farm. We've got trucks wedged deep in sludge and we could use a strong arm to haul 'em out. You'll need a serious engine for this one.,TASKS
US_01_01_DROWNED_TRUCK_02_TSK,Drowned Scout Truck,_TASKS,US_01,Michigan,truckDelivery,,180,1100,Hey! Trouble at the farm. We've got trucks wedged deep in sludge and we could use a strong arm to haul 'em out. You'll need a serious engine for this one.,TASKS
US_01_01_DROWNED_TRUCK_03_TSK,Drowned Heavy Truck,_TASKS,US_01,Michigan,truckDelivery,,320,3000,Hey! Trouble at the farm. We've got trucks wedged deep in sludge and we could use a strong arm to haul 'em out. You'll need a serious engine for this one.,TASKS
US_01_01_DRILLING_RECOVERY_OBJ,Not A Drill,_CONTRACTS,US_01,Michigan,truckDelivery,2× Metal Planks; 1× Big Drills,740,7450,Excuse the mess. We're still clearing up after the flood. The water dislodged our rigs and destroyed one of the drills. We need new parts and construction materials to get things moving again.,CONTRACTS
US_01_01_FACTORY_RECOVERY_OBJ,Pipe Dream,_CONTRACTS,US_01,Michigan,truckDelivery,2× Bricks; 1× Metal Planks,450,3850,A local oil equipment factory got hammered by the flood. That place is vital to drilling operations in the area so we need to get it back up and running ASAP. Start by getting them some fuel and construction materials.,CONTRACTS
US_01_01_TOWN_STORAGE_OBJ,Steel River Supplies,_CONTRACTS,US_01,Michigan,truckDelivery,2× Crate Large; 2× Wooden Planks,260,2800,"Things are pretty rough around here right now. We've got food, water and fuel shortages and people are starting to worry. If we don't deal with this soon we're going to have panic on our hands. We need your help.",CONTRACTS
US_01_01_FARM_DELIVERY_OBJ,Farming Tools,_CONTRACTS,US_01,Michigan,truckDelivery,,130,1050,"A local farm by the name of ""Matthew & Sons"" has contacted us to see if we can help them out with a shipment of tools for repairs. You should be able to find the shipment somewhere near the garage.",CONTRACTS
US_01_01_SUPPLIES_FOR_FARMERS_OBJ,Wet Harvest,_CONTRACTS,US_01,Michigan,cargoDelivery,2× Bricks; 2× Wooden Planks; 1× Metal Planks,420,3800,A nearby farm was hit pretty bad by the flood. They could really use some basic construction materials to get themselves patched up. We don't want to end up with food shortages.,CONTRACTS
US_01_01_BUILD_A_BRIDGE_OBJ,Old Bridge Reconstruction,_CONTRACTS,US_01,Michigan,cargoDelivery,1× Metal Planks; 2× Wooden Planks,350,2100,Great! Now you have a powerful vehicle for transporting heavier loads. The only problem is that you're cut off from the mainland. Rebuild the bridge so you can reach the garage and get a real contract.,CONTRACTS
US_01_01_LOST_CONTAINERS_OBJ,Lost Container,_CONTRACTS,US_01,Michigan,cargoDelivery,1× Service Spare Parts Special,210,1300,Listen up. We've got a missing container that's carrying operational supplies and we're struggling to get by without it. It can't have gotten far. Get out there and find it and we'll be mighty grateful.,CONTRACTS
